"event","state","State_Name","Country","Count","Percentage"
"","","","USA",4,100
"2022 Soil Health Conference","SD","South Dakota","USA",159,63.35
"2022 Soil Health Conference","MN","Minnesota","USA",14,5.58
"2022 Soil Health Conference","NE","Nebraska","USA",14,5.58
"2022 Soil Health Conference","","","USA",11,4.38
"2022 Soil Health Conference","ND","North Dakota","USA",10,3.98
"2022 Soil Health Conference","IL","Illinois","USA",8,3.19
"2022 Soil Health Conference","IA","Iowa","USA",7,2.79
"2022 Soil Health Conference","MO","Missouri","USA",6,2.39
"2022 Soil Health Conference","CO","Colorado","USA",5,1.99
"2022 Soil Health Conference","10","10","CZ",2,0.8
"2022 Soil Health Conference","AB","Alberta","Canada",2,0.8
"2022 Soil Health Conference","KS","Kansas","USA",2,0.8
"2022 Soil Health Conference","MT","Montana","USA",2,0.8
"2022 Soil Health Conference","DC","DC","USA",1,0.4
"2022 Soil Health Conference","I","I","GR",1,0.4
"2022 Soil Health Conference","IN","IN","USA",1,0.4
"2022 Soil Health Conference","LA","LA","USA",1,0.4
"2022 Soil Health Conference","OK","OK","USA",1,0.4
"2022 Soil Health Conference","PA","PA","USA",1,0.4
"2022 Soil Health Conference","QC","Quebec","Canada",1,0.4
"2022 Soil Health Conference","WA","WA","USA",1,0.4
"2022 Soil Health Conference","WY","Wyoming","USA",1,0.4
"2023 Soil Health Conference","SD","South Dakota","USA",163,46.05
"2023 Soil Health Conference","MO","Missouri","USA",46,12.99
"2023 Soil Health Conference","","","USA",43,12.15
"2023 Soil Health Conference","MN","Minnesota","USA",23,6.5
"2023 Soil Health Conference","NE","Nebraska","USA",13,3.67
"2023 Soil Health Conference","ND","North Dakota","USA",12,3.39
"2023 Soil Health Conference","IA","Iowa","USA",9,2.54
"2023 Soil Health Conference","IL","Illinois","USA",7,1.98
"2023 Soil Health Conference","IN","IN","USA",4,1.13
"2023 Soil Health Conference","MB","Manitoba","Canada",4,1.13
"2023 Soil Health Conference","AR","AR","USA",3,0.85
"2023 Soil Health Conference","CO","Colorado","USA",3,0.85
"2023 Soil Health Conference","FL","FL","USA",2,0.56
"2023 Soil Health Conference","GA","GA","USA",2,0.56
"2023 Soil Health Conference","KS","Kansas","USA",2,0.56
"2023 Soil Health Conference","OH","OH","USA",2,0.56
"2023 Soil Health Conference","UT","UT","USA",2,0.56
"2023 Soil Health Conference","","","FJ",1,0.28
"2023 Soil Health Conference","","","MA",1,0.28
"2023 Soil Health Conference","10","10","CZ",1,0.28
"2023 Soil Health Conference","BRU","BRU","BE",1,0.28
"2023 Soil Health Conference","CA","CA","USA",1,0.28
"2023 Soil Health Conference","HB","HB","HU",1,0.28
"2023 Soil Health Conference","ID","ID","USA",1,0.28
"2023 Soil Health Conference","MD","MD","USA",1,0.28
"2023 Soil Health Conference","MI","MI","USA",1,0.28
"2023 Soil Health Conference","MN","MN","NI",1,0.28
"2023 Soil Health Conference","ON","Ontario","Canada",1,0.28
"2023 Soil Health Conference","OR","OR","USA",1,0.28
"2023 Soil Health Conference","PA","PA","USA",1,0.28
"2023 Soil Health Conference","WI","Wisconsin","USA",1,0.28
"2024 Soil Health Conference","SD","South Dakota","USA",156,50.81
"2024 Soil Health Conference","","","USA",51,16.61
"2024 Soil Health Conference","MO","Missouri","USA",28,9.12
"2024 Soil Health Conference","NE","Nebraska","USA",19,6.19
"2024 Soil Health Conference","OR","OR","USA",11,3.58
"2024 Soil Health Conference","CO","Colorado","USA",9,2.93
"2024 Soil Health Conference","ND","North Dakota","USA",7,2.28
"2024 Soil Health Conference","IL","Illinois","USA",6,1.95
"2024 Soil Health Conference","WY","Wyoming","USA",3,0.98
"2024 Soil Health Conference","IA","Iowa","USA",2,0.65
"2024 Soil Health Conference","KS","Kansas","USA",2,0.65
"2024 Soil Health Conference","MN","Minnesota","USA",2,0.65
"2024 Soil Health Conference","WA","WA","USA",2,0.65
"2024 Soil Health Conference","30","30","UA",1,0.33
"2024 Soil Health Conference","AR","AR","USA",1,0.33
"2024 Soil Health Conference","CA","CA","USA",1,0.33
"2024 Soil Health Conference","DE","DE","USA",1,0.33
"2024 Soil Health Conference","DL","DL","IN",1,0.33
"2024 Soil Health Conference","HCW","HCW","HK",1,0.33
"2024 Soil Health Conference","PA","PA","USA",1,0.33
"2024 Soil Health Conference","TG","TG","IN",1,0.33
"2024 Soil Health Conference","VA","VA","USA",1,0.33
"2025 Soil Health Conference","SD","South Dakota","USA",259,66.24
"2025 Soil Health Conference","MN","Minnesota","USA",38,9.72
"2025 Soil Health Conference","","","USA",37,9.46
"2025 Soil Health Conference","NE","Nebraska","USA",17,4.35
"2025 Soil Health Conference","ND","North Dakota","USA",13,3.32
"2025 Soil Health Conference","IA","Iowa","USA",9,2.3
"2025 Soil Health Conference","MO","Missouri","USA",9,2.3
"2025 Soil Health Conference","CO","Colorado","USA",3,0.77
"2025 Soil Health Conference","IL","Illinois","USA",2,0.51
"2025 Soil Health Conference","MS","MS","USA",2,0.51
"2025 Soil Health Conference","SHR","SHR","EG",1,0.26
"2025 Soil Health Conference","WI","Wisconsin","USA",1,0.26
